"id","happiness"
1,3.83150878361239
2,3.10320897058822
3,3.48505489219166
4,4.29198967391191
5,3.35475538398118
6,3.77681920019043
7,3.89992342023626
8,4.71497638966412
9,3.97837480100622
10,3.10323899564774
11,3.38505922807751
12,3.67701184187175
13,4.26364669459378
14,3.86193579521946
15,3.80284364973351
16,4.38059006028235
17,3.58259119228807
18,4.33308392011485
19,3.95461616847432
20,3.74303824296271
21,4.06692358215273
22,3.93979616984443
23,3.97378770504107
24,3.64277473272383
25,3.70009329108108
26,4.05245899267623
27,4.00380058300094
28,4.0172106151812
29,4.03076988302827
30,4.17031678970891
31,3.5068590158095
32,3.96780394815125
33,4.34320936957762
34,3.39763309232451
35,3.47314138873799
36,4.28814377073083
37,4.03193290982778
38,4.18503205009022
39,3.84155542841715
40,4.37808784890272
41,4.51298886273179
42,3.71046797738032
43,3.89999924448576
44,4.12763237063607
45,4.23418177541216
46,4.11060150834427
47,4.50025799692673
48,4.00822416374071
49,3.88446993174865
50,4.38507392539411
51,2.78343908128864
52,4.07285065548283
53,3.25821070975425
54,3.72263056053217
55,4.17105544097256
56,3.43020369832212
57,3.76535052308546
58,3.28476707103287
59,3.4118073973185
60,4.29755490991557
61,3.28886562174203
62,3.44188900309796
63,2.923701860178
64,4.27030073069676
65,3.95707945343079
66,4.33765315585711
67,3.72740155992294
68,3.91078637272964
69,3.66788454298084
70,3.59010737017649
71,3.53127145933488
72,3.45906756885935
73,3.97828874748118
74,3.83131191520465
75,3.2325384716671
76,3.98017182812237
77,3.55797853210844
78,3.0642818109031
79,4.58236152921898
80,3.97441548768147
81,4.15280854355805
82,3.9155740390274
83,4.34470184362243
84,4.15198805241331
85,4.34243078916107
86,3.89988515280302
87,4.18472690721221
88,3.86986393729963
89,3.37650375639744
90,3.56677211271365
91,4.2247578012558
92,3.3762700332667
93,4.40022215994243
94,4.25978817295373
95,4.85685831225055
96,3.59433156313431
97,4.30483108367347
98,3.95078048227374
99,4.1238804811568
100,4.15061252653721
101,4.12210740951264
102,4.184544106993
103,3.42251152763682
104,4.48780455504956
105,3.80143816144562
106,4.02278857885671
107,4.27210826642208
108,3.99414932976757
109,4.02378455306923
110,3.70651469219004
111,4.26966790000409
112,3.4002638889268
113,3.77764049482266
114,3.08408382937562
115,4.12140409659778
116,3.91166077948412
117,3.62972534445891
118,4.00132538556804
119,3.68855513759963
120,4.38729238867255
121,3.48865445748168
122,4.40192114037296
123,3.9369953146766
124,2.22206893231079
125,4.22674079253278
126,4.47055200104754
127,2.88882560438837
128,3.98291166755142
129,3.69675292500112
130,3.95600156281026
131,4.04182109570656
132,4.36059537080996
133,4.08247502241974
134,4.03065430441688
135,4.15395406212503
136,4.19243901780287
137,4.0458474130437
138,3.48665282291833
139,3.81627764871494
140,3.53486490246288
141,4.0775278582356
142,4.01695279489621
143,3.88443476789758
144,3.62750727644598
145,4.11812386812144
146,2.74864605517708
147,3.84574785301049
148,3.01029983885955
149,3.42611434169773
150,3.745120225624
151,3.094397835092
152,4.02392468780791
153,3.87068602141336
154,3.89637137849862
155,3.96669115295417
156,3.69790062718463
157,2.21550896869384
158,3.41105976641876
159,4.01357052784559
160,3.96190996116259
161,3.73685762798161
162,3.88897328652732
163,3.78709946211749
164,3.94613005463952
165,4.03383620122253
166,4.30662225596629
167,3.75748068604522
168,3.43118605909426
169,3.62766939785063
170,3.83950191742778
171,3.70628100575961
172,3.73842115288959
173,3.45342924512339
174,3.86610783867563
175,3.83895111710409
176,4.11780053956739
177,3.12284878529032
178,4.19854553094282
179,4.15050867684564
180,3.44872772565987
181,3.97005217334394
182,3.93477876148637
183,3.6634163597372
184,3.7456152470819
185,3.66902536748902
186,3.68796097675861
187,4.20444109427285
188,3.67361978694425
189,3.98073110234973
190,4.12423324386363
191,4.06801040018875
192,3.84744895317342
193,3.78675985670345
194,3.90208847171992
195,4.46246444960193
196,3.49406202329535
197,3.85155834797378
198,4.07182964528209
199,4.16988791113752
200,4.82636560058444
201,3.4578158832911
202,4.36990293619038
203,3.80820878538376
204,3.88845883709146
205,4.14590630012333
206,4.12761271879494
207,3.96183951537013
208,3.76156903906775
209,3.38320560255003
210,3.80722623592807
211,3.67239109211222
212,4.26068496427946
213,4.50143821425132
214,4.12589309167167
215,3.52286272244484
216,3.56839551867152
217,3.59615864316333
218,3.7172955354539
219,3.90127621804376
220,4.23828594639925
221,4.6736633847855
222,3.73179702344814
223,3.33682990028748
224,4.09164390274011
225,4.23652684178049
226,3.64592812523999
227,4.42210051088545
228,3.68237716491513
229,4.19721825232676
230,3.607243567522
231,3.80482559838516
232,3.99188569977668
233,3.76317928887354
234,3.87997629035158
235,3.85243059523614
236,3.39511130152221
237,3.65351048572531
238,4.09687200776191
239,2.53803286984933
240,3.49969368058474
241,3.21097630715651
242,3.91298418488521
243,4.53449896711075
244,3.78079635783774
245,3.47911047474221
246,3.83842518722195
247,4.03591223942322
248,4.0247561420727
249,4.26836639835668
250,4.16336090663577
251,4.00569854957014
252,4.49594765778332
253,3.80297039041471
254,3.13206152741562
255,3.64707119353013
256,3.63659741054045
257,3.68093879316649
258,3.04102700684698
259,4.04050657019035
260,4.1522045775091
261,4.47194855619849
262,3.52241904213451
263,3.85487696266961
264,3.99825989747256
